id,company,track,title,url,publish_date,authors,in_scope,scope_reason
gr-r-haptics-with-input-using-linear-resonant-actuators-for-sensing,google-research,research,Haptics with Input: Using Linear Resonant Actuators for Sensing,https://research.google/blog/haptics-with-input-using-linear-resonant-actuators-for-sensing/,,,TRUE,
gr-r-transformers-for-image-recognition-at-scale,google-research,research,Transformers for Image Recognition at Scale,https://research.google/blog/transformers-for-image-recognition-at-scale/,,,TRUE,
gr-r-using-gans-to-create-fantastical-creatures,google-research,research,Using GANs to Create Fantastical Creatures,https://research.google/blog/using-gans-to-create-fantastical-creatures/,,,TRUE,
gr-r-mediapipe-holistic-simultaneous-face-hand-and-pose-prediction-on-device,google-research,research,"MediaPipe Holistic — Simultaneous Face, Hand and Pose Prediction, on Device",https://research.google/blog/mediapipe-holistic-simultaneous-face-hand-and-pose-prediction-on-device/,,,TRUE,
gr-r-improving-vision-transformer-efficiency-and-accuracy-by-learning-to-tokenize,google-research,research,Improving Vision Transformer Efficiency and Accuracy by Learning to Tokenize,https://research.google/blog/improving-vision-transformer-efficiency-and-accuracy-by-learning-to-tokenize/,,,TRUE,
gr-r-a-fast-wordpiece-tokenization-system,google-research,research,A Fast WordPiece Tokenization System,https://research.google/blog/a-fast-wordpiece-tokenization-system/,,,TRUE,
gr-r-a-scalable-approach-for-partially-local-federated-learning,google-research,research,A Scalable Approach for Partially Local Federated Learning,https://research.google/blog/a-scalable-approach-for-partially-local-federated-learning/,,,TRUE,
gr-r-interpretable-deep-learning-for-time-series-forecasting,google-research,research,Interpretable Deep Learning for Time Series Forecasting,https://research.google/blog/interpretable-deep-learning-for-time-series-forecasting/,,,TRUE,
gr-r-predicting-text-selections-with-federated-learning,google-research,research,Predicting Text Selections with Federated Learning,https://research.google/blog/predicting-text-selections-with-federated-learning/,,,TRUE,
gr-r-evaluating-syntactic-abilities-of-language-models,google-research,research,Evaluating Syntactic Abilities of Language Models,https://research.google/blog/evaluating-syntactic-abilities-of-language-models/,,,TRUE,
gr-r-mural-multimodal-multi-task-retrieval-across-languages,google-research,research,"MURAL: Multimodal, Multi-task Retrieval Across Languages",https://research.google/blog/mural-multimodal-multi-task-retrieval-across-languages/,,,TRUE,
gr-r-general-and-scalable-parallelization-for-neural-networks,google-research,research,General and Scalable Parallelization for Neural Networks,https://research.google/blog/general-and-scalable-parallelization-for-neural-networks/,,,TRUE,
gr-r-google-at-neurips-2021,google-research,research,Google at NeurIPS 2021,https://research.google/blog/google-at-neurips-2021/,,,TRUE,
gr-r-more-efficient-in-context-learning-with-glam,google-research,research,More Efficient In-Context Learning with GLaM,https://research.google/blog/more-efficient-in-context-learning-with-glam/,,,TRUE,
gr-r-rlds-an-ecosystem-to-generate-share-and-use-datasets-in-reinforcement-learning,google-research,research,"RLDS: An Ecosystem to Generate, Share, and Use Datasets in Reinforcement Learnin",https://research.google/blog/rlds-an-ecosystem-to-generate-share-and-use-datasets-in-reinforcement-learning/,,,TRUE,
