id,company,track,title,url,publish_date,authors,in_scope,scope_reason
cog-e-devin-2-1,cognition,engineering,Devin 2.1,https://cognition.ai/blog/devin-2-1,2025-05-15,,FALSE,product-launch
cog-r-kevin-32b,cognition,research,Kevin-32B: Multi-Turn RL for Writing CUDA Kernels,https://cognition.ai/blog/kevin-32b,2025-05-06,,TRUE,
cog-e-deepwiki,cognition,engineering,DeepWiki: AI docs for any repo,https://cognition.ai/blog/deepwiki,2025-05-05,,FALSE,product-launch
cog-e-devin-2,cognition,engineering,Devin 2.0,https://cognition.ai/blog/devin-2,2025-04-03,,FALSE,product-launch
cog-e-devin-february-25-product-update,cognition,engineering,Devin February '25 Product Update,https://cognition.ai/blog/devin-february-25-product-update,2025-02-26,,FALSE,product-launch
cog-r-linktree,cognition,research,Linktree expands social media platform coverage and ships new features with Devin,https://cognition.ai/blog/linktree,2025-02-13,,FALSE,customer-story
cog-e-devin-101-automatic-pr-reviews-with-the-devin-api,cognition,engineering,Devin 101: Automatic PR Reviews with the Devin API,https://cognition.ai/blog/devin-101-automatic-pr-reviews-with-the-devin-api,2025-01-21,,TRUE,
cog-e-jan-25-product-update,cognition,engineering,Devin January '25 Product Update,https://cognition.ai/blog/jan-25-product-update,2025-01-16,,FALSE,product-launch
cog-r-crossmint-devin,cognition,research,Scaling Open Source Development of GOAT with Devin: A Crossmint Case Study,https://cognition.ai/blog/crossmint-devin,2025-01-14,,FALSE,customer-story
cog-e-dec-24-product-update-2,cognition,engineering,Devin December '24 Product Update (Part 2),https://cognition.ai/blog/dec-24-product-update-2,2024-12-23,,FALSE,product-launch
cog-e-cognition-open-source-initiative,cognition,engineering,Announcing The Devin Open Source Initiative,https://cognition.ai/blog/cognition-open-source-initiative,2024-12-12,,FALSE,company-news
cog-e-devin-generally-available,cognition,engineering,Devin is now generally available,https://cognition.ai/blog/devin-generally-available,2024-12-10,,FALSE,product-launch
cog-e-dec-24-product-update,cognition,engineering,Devin December '24 Product Update,https://cognition.ai/blog/dec-24-product-update,2024-12-03,,FALSE,product-launch
cog-r-evaluating-coding-agents,cognition,research,A review of OpenAI’s o1 and how we evaluate coding agents,https://cognition.ai/blog/evaluating-coding-agents,2024-09-12,,TRUE,
cog-e-sept-24-product-update,cognition,engineering,Devin September '24 Product Update,https://cognition.ai/blog/sept-24-product-update,2024-09-05,,FALSE,product-launch
cog-r-devin-crowdstrike-outage,cognition,research,Using Devin to Recover from the CrowdStrike Outage,https://cognition.ai/blog/devin-crowdstrike-outage,2024-07-20,,FALSE,customer-story
cog-e-june-24-product-update,cognition,engineering,Devin June '24 Product Update,https://cognition.ai/blog/june-24-product-update,2024-06-05,,FALSE,product-launch
cog-r-swe-bench-technical-report,cognition,research,SWE-bench technical report,https://cognition.ai/blog/swe-bench-technical-report,2024-03-15,,TRUE,
cog-r-introducing-devin,cognition,research,"Introducing Devin, the first AI software engineer",https://cognition.ai/blog/introducing-devin,2024-03-12,,TRUE,
