id,company,track,title,url,publish_date,authors,in_scope,scope_reason
ant-r-diff-tool,anthropic,research,A “diff” tool for AI: Finding behavioral differences in new models,https://www.anthropic.com/research/diff-tool,2026-03-13,,TRUE,
ant-r-labor-market-impacts,anthropic,research,Labor market impacts of AI: A new measure and early evidence,https://www.anthropic.com/research/labor-market-impacts,2026-03-05,Maxim Massenkoff|Peter McCrory,TRUE,
ant-r-deprecation-updates-opus-3,anthropic,research,An update on our model deprecation commitments for Claude Opus 3,https://www.anthropic.com/research/deprecation-updates-opus-3,2026-02-25,,TRUE,
ant-r-ai-fluency-index,anthropic,research,Anthropic Education Report: The AI Fluency Index,https://www.anthropic.com/research/AI-fluency-index,2026-02-23,,TRUE,
ant-r-persona-selection-model,anthropic,research,The persona selection model,https://www.anthropic.com/research/persona-selection-model,2026-02-23,,TRUE,
ant-r-measuring-agent-autonomy,anthropic,research,Measuring AI agent autonomy in practice,https://www.anthropic.com/research/measuring-agent-autonomy,2026-02-18,,TRUE,
ant-r-india-brief-economic-index,anthropic,research,India Country Brief: The Anthropic Economic Index,https://www.anthropic.com/research/india-brief-economic-index,2026-02-16,,TRUE,
ant-r-ai-assistance-coding-skills,anthropic,research,How AI assistance impacts the formation of coding skills,https://www.anthropic.com/research/AI-assistance-coding-skills,2026-01-29,,TRUE,
ant-r-disempowerment-patterns,anthropic,research,Disempowerment patterns in real-world AI usage,https://www.anthropic.com/research/disempowerment-patterns,2026-01-28,,TRUE,
ant-r-assistant-axis,anthropic,research,The assistant axis: situating and stabilizing the character of large language models,https://www.anthropic.com/research/assistant-axis,2026-01-19,,TRUE,
ant-r-anthropic-economic-index-january-2026-report,anthropic,research,Anthropic Economic Index report: Economic primitives,https://www.anthropic.com/research/anthropic-economic-index-january-2026-report,2026-01-15,,TRUE,
ant-r-economic-index-primitives,anthropic,research,The Anthropic Economic Index report: New building blocks for understanding AI use,https://www.anthropic.com/research/economic-index-primitives,2026-01-15,,TRUE,
ant-r-next-generation-constitutional-classifiers,anthropic,research,Next-generation Constitutional Classifiers: More efficient protection against universal jailbreaks,https://www.anthropic.com/research/next-generation-constitutional-classifiers,2026-01-09,,TRUE,
ant-r-bloom,anthropic,research,Introducing Bloom: an open source tool for automated behavioral evaluations,https://www.anthropic.com/research/bloom,2025-12-19,,TRUE,
ant-r-project-vend-2,anthropic,research,Project Vend: Phase two,https://www.anthropic.com/research/project-vend-2,2025-12-18,,TRUE,
ant-r-anthropic-interviewer,anthropic,research,Introducing Anthropic Interviewer,https://www.anthropic.com/research/anthropic-interviewer,2025-12-04,,TRUE,
ant-r-how-ai-is-transforming-work-at-anthropic,anthropic,research,How AI Is Transforming Work at Anthropic,https://www.anthropic.com/research/how-ai-is-transforming-work-at-anthropic,2025-12-02,,TRUE,
ant-r-estimating-productivity-gains,anthropic,research,Estimating AI productivity gains,https://www.anthropic.com/research/estimating-productivity-gains,2025-11-25,,TRUE,
ant-r-prompt-injection-defenses,anthropic,research,Mitigating the risk of prompt injections in browser use,https://www.anthropic.com/research/prompt-injection-defenses,2025-11-24,,TRUE,
ant-r-emergent-misalignment-reward-hacking,anthropic,research,From shortcuts to sabotage: natural emergent misalignment from reward hacking,https://www.anthropic.com/research/emergent-misalignment-reward-hacking,2025-11-21,,TRUE,
ant-r-project-fetch-robot-dog,anthropic,research,Project Fetch: Can Claude train a robot dog?,https://www.anthropic.com/research/project-fetch-robot-dog,2025-11-12,,TRUE,
ant-r-deprecation-commitments,anthropic,research,Commitments on model deprecation and preservation,https://www.anthropic.com/research/deprecation-commitments,2025-11-04,,TRUE,
ant-r-introspection,anthropic,research,Emergent introspective awareness in large language models,https://www.anthropic.com/research/introspection,2025-10-29,,TRUE,
ant-r-economic-policy-responses,anthropic,research,Preparing for AI’s economic impact: exploring policy responses,https://www.anthropic.com/research/economic-policy-responses,2025-10-14,,TRUE,
ant-r-small-samples-poison,anthropic,research,A small number of samples can poison LLMs of any size,https://www.anthropic.com/research/small-samples-poison,2025-10-09,,TRUE,
ant-r-petri-open-source-auditing,anthropic,research,Petri: An open-source auditing tool to accelerate AI safety research,https://www.anthropic.com/research/petri-open-source-auditing,2025-10-06,,TRUE,
ant-r-building-ai-cyber-defenders,anthropic,research,Building AI for cyber defenders,https://www.anthropic.com/research/building-ai-cyber-defenders,2025-10-03,,TRUE,
ant-r-anthropic-economic-index-september-2025-report,anthropic,research,Anthropic Economic Index report: Uneven geographic and enterprise AI adoption,https://www.anthropic.com/research/anthropic-economic-index-september-2025-report,2025-09-15,,TRUE,
ant-r-economic-index-geography,anthropic,research,Anthropic Economic Index: Tracking AI's role in the US and global economy,https://www.anthropic.com/research/economic-index-geography,2025-09-15,,TRUE,
ant-r-end-subset-conversations,anthropic,research,Claude Opus 4 and 4.1 can now end a rare subset of conversations,https://www.anthropic.com/research/end-subset-conversations,2025-08-15,,TRUE,
ant-r-persona-vectors,anthropic,research,Persona vectors: Monitoring and controlling character traits in language models,https://www.anthropic.com/research/persona-vectors,2025-08-01,,TRUE,
ant-r-project-vend-1,anthropic,research,Project Vend: Can Claude run a small shop? (And why does that matter?),https://www.anthropic.com/research/project-vend-1,2025-06-27,,TRUE,
ant-r-agentic-misalignment,anthropic,research,Agentic Misalignment: How LLMs could be insider threats,https://www.anthropic.com/research/agentic-misalignment,2025-06-20,,TRUE,
ant-r-confidential-inference-trusted-vms,anthropic,research,Confidential Inference via Trusted Virtual Machines,https://www.anthropic.com/research/confidential-inference-trusted-vms,2025-06-18,,TRUE,
ant-r-shade-arena-sabotage-monitoring,anthropic,research,SHADE-Arena: Evaluating Sabotage and Monitoring in LLM Agents,https://www.anthropic.com/research/shade-arena-sabotage-monitoring,2025-06-16,,TRUE,
ant-r-open-source-circuit-tracing,anthropic,research,Open-sourcing circuit-tracing tools,https://www.anthropic.com/research/open-source-circuit-tracing,2025-05-29,,TRUE,
ant-r-impact-software-development,anthropic,research,Anthropic Economic Index: AI's impact on software development,https://www.anthropic.com/research/impact-software-development,2025-04-28,,TRUE,
ant-r-exploring-model-welfare,anthropic,research,Exploring model welfare,https://www.anthropic.com/research/exploring-model-welfare,2025-04-24,,TRUE,
ant-r-values-wild,anthropic,research,Values in the wild: Discovering and analyzing values in real-world language model interactions,https://www.anthropic.com/research/values-wild,2025-04-21,,TRUE,
ant-r-reasoning-models-dont-say-think,anthropic,research,Reasoning models don't always say what they think,https://www.anthropic.com/research/reasoning-models-dont-say-think,2025-04-03,,TRUE,
ant-r-tracing-thoughts-language-model,anthropic,research,Tracing the thoughts of a large language model,https://www.anthropic.com/research/tracing-thoughts-language-model,2025-03-27,,TRUE,
ant-r-auditing-hidden-objectives,anthropic,research,Auditing language models for hidden objectives,https://www.anthropic.com/research/auditing-hidden-objectives,2025-03-13,,TRUE,
ant-r-forecasting-rare-behaviors,anthropic,research,Forecasting rare language model behaviors,https://www.anthropic.com/research/forecasting-rare-behaviors,2025-02-25,,TRUE,
ant-r-visible-extended-thinking,anthropic,research,Claude's extended thinking,https://www.anthropic.com/research/visible-extended-thinking,2025-02-24,,TRUE,
ant-r-crosscoder-model-diffing,anthropic,research,Insights on Crosscoder Model Diffing,https://www.anthropic.com/research/crosscoder-model-diffing,2025-02-20,,TRUE,
ant-r-constitutional-classifiers,anthropic,research,Constitutional Classifiers: Defending against universal jailbreaks,https://www.anthropic.com/research/constitutional-classifiers,2025-02-03,,TRUE,
ant-r-swe-bench-sonnet,anthropic,research,Claude SWE-Bench Performance,https://www.anthropic.com/research/swe-bench-sonnet,2025-01-06,,TRUE,
ant-r-building-effective-agents,anthropic,research,Building Effective AI Agents,https://www.anthropic.com/research/building-effective-agents,2024-12-19,Erik S.|Barry Zhang,TRUE,
ant-r-alignment-faking,anthropic,research,Alignment faking in large language models,https://www.anthropic.com/research/alignment-faking,2024-12-18,,TRUE,
ant-r-clio,anthropic,research,Clio: Privacy-preserving insights into real-world AI use,https://www.anthropic.com/research/clio,2024-12-12,,TRUE,
ant-r-statistical-approach-to-model-evals,anthropic,research,A statistical approach to model evaluations,https://www.anthropic.com/research/statistical-approach-to-model-evals,2024-11-19,,TRUE,
ant-r-evaluating-feature-steering,anthropic,research,Evaluating feature steering: A case study in mitigating social biases,https://www.anthropic.com/research/evaluating-feature-steering,2024-10-25,,TRUE,
ant-r-sabotage-evaluations,anthropic,research,Sabotage evaluations for frontier models,https://www.anthropic.com/research/sabotage-evaluations,2024-10-18,,TRUE,
ant-r-features-as-classifiers,anthropic,research,Using dictionary learning features as classifiers,https://www.anthropic.com/research/features-as-classifiers,2024-10-16,,TRUE,
ant-r-circuits-updates-sept-2024,anthropic,research,Circuits Updates – September 2024,https://www.anthropic.com/research/circuits-updates-sept-2024,2024-10-01,,TRUE,
ant-r-circuits-updates-august-2024,anthropic,research,Circuits Updates – August 2024,https://www.anthropic.com/research/circuits-updates-august-2024,2024-09-06,,TRUE,
